Set,Question — English,Question — Bengali,Question — Hindi,Four Choices (English / বাংলা / हिन्दी),Correct Answer,RKMM Verification URL
4,What does Sri Ramakrishna's analogy of the maidservant teach a householder?,শ্রী রামকৃষ্ণের দাসীর উপমা গৃহস্থকে কী শিক্ষা দেয়?,श्रीरामकृष्ण की दासी की उपमा गृहस्थ को क्या शिक्षा देती है?,"A. Perform worldly duties while keeping the mind on God and remaining inwardly unattached / সংসারের কর্তব্য করো, কিন্তু মন ঈশ্বরে রাখো ও অন্তরে অনাসক্ত থাকো / संसार के कर्तव्य करो, पर मन भगवान में रखो और भीतर से अनासक्त रहो
B. Abandon the family immediately / অবিলম্বে পরিবার ত্যাগ করো / तुरंत परिवार छोड़ दो
C. Wealth is the chief aim of life / ধনই জীবনের প্রধান লক্ষ্য / धन ही जीवन का मुख्य लक्ष्य है
D. Avoid all work / সব কাজ এড়িয়ে চলো / सभी काम छोड़ दो","A — Do duties, keep the mind on God, remain unattached / কর্তব্য করো, মন ঈশ্বরে রাখো, অনাসক্ত থাকো / कर्तव्य करो, मन भगवान में रखो, अनासक्त रहो",https://englishbooks.rkmm.org/s/tsr/m/gospel-of-sri-ramakrishna#:~:text=maidservant
4,"What is the central meaning of Sri Ramakrishna's teaching, 'As many faiths, so many paths'?","শ্রী রামকৃষ্ণের 'যত মত, তত পথ' শিক্ষার মূল অর্থ কী?","श्रीरामकृष्ण की शिक्षा 'जितने मत, उतने पथ' का मुख्य अर्थ क्या है?","A. Different sincere religious paths can lead to the same Divine Reality / বিভিন্ন আন্তরিক ধর্মপথ একই পরম সত্যের দিকে নিয়ে যেতে পারে / विभिन्न ईमानदार धार्मिक मार्ग उसी परम सत्य तक पहुँचा सकते हैं
B. All rituals are exactly identical / সব আচার হুবহু একই / सभी अनुष्ठान बिल्कुल एक जैसे हैं
C. Only one scripture is true / কেবল একটি শাস্ত্রই সত্য / केवल एक शास्त्र सत्य है
D. Religion is unnecessary / ধর্মের প্রয়োজন নেই / धर्म की आवश्यकता नहीं है",A — Different sincere paths can lead to the same Divine Reality / বিভিন্ন আন্তরিক পথ একই পরম সত্যে পৌঁছাতে পারে / विभिन्न सच्चे मार्ग उसी परम सत्य तक पहुँच सकते हैं,https://englishbooks.rkmm.org/s/tsr/m/gospel-of-sri-ramakrishna#:~:text=As%20many%20faiths%2C%20so%20many%20paths
4,"According to Swami Vivekananda, what is religion fundamentally?",স্বামী বিবেকানন্দের মতে ধর্ম মূলত কী?,स्वामी विवेकानंद के अनुसार धर्म मूलतः क्या है?,"A. Realisation / উপলব্ধি / अनुभूति
B. Mere doctrine / কেবল মতবাদ / केवल सिद्धान्त
C. Ritual alone / কেবল আচার / केवल अनुष्ठान
D. Intellectual argument / বুদ্ধিবৃত্তিক তর্ক / बौद्धिक तर्क",A — Realisation / উপলব্ধি / अनुभूति,https://englishbooks.rkmm.org/s/tsv/m/the-complete-works-of-swami-vivekananda/a/6-2-2-religion-is-realisation#:~:text=Religion%20is%20realisation
4,What is the central ideal of Karma-Yoga as taught by Swami Vivekananda?,স্বামী বিবেকানন্দের শিক্ষায় কর্মযোগের কেন্দ্রীয় আদর্শ কী?,स्वामी विवेकानंद की शिक्षा में कर्मयोग का केंद्रीय आदर्श क्या है?,"A. Work unselfishly, without attachment to its fruits / ফলের প্রতি আসক্তি ছাড়া নিঃস্বার্থভাবে কাজ করা / फल की आसक्ति के बिना निःस्वार्थ भाव से कर्म करना
B. Avoid all action / সব কর্ম এড়িয়ে চলা / सभी कर्मों से बचना
C. Work only for reward / কেবল পুরস্কারের জন্য কাজ করা / केवल पुरस्कार के लिए काम करना
D. Perform ritual alone / কেবল আচার করা / केवल अनुष्ठान करना",A — Unselfish work without attachment to results / ফলাসক্তিহীন নিঃস্বার্থ কর্ম / फलासक्ति-रहित निःस्वार्थ कर्म,https://englishbooks.rkmm.org/s/tsv/m/the-complete-works-of-swami-vivekananda/a/1-2-8-the-ideal-of-karma-yoga#:~:text=without%20attachment
4,"According to Holy Mother's famous counsel, what should one do to attain peace?",শ্রীশ্রীমার বিখ্যাত উপদেশ অনুযায়ী শান্তি পেতে কী করা উচিত?,श्रीशारदा देवी के प्रसिद्ध उपदेश के अनुसार शांति पाने के लिए क्या करना चाहिए?,"A. See one's own faults instead of finding faults in others, and make the whole world one's own / অন্যের দোষ না দেখে নিজের দোষ দেখো এবং সমগ্র জগৎকে আপন করে নাও / दूसरों के दोष न देखकर अपने दोष देखो और पूरे संसार को अपना बनाओ
B. Withdraw completely from everyone / সকলের থেকে সম্পূর্ণ বিচ্ছিন্ন হও / सभी से पूरी तरह अलग हो जाओ
C. Win every argument / সব তর্কে জয়ী হও / हर बहस जीतने की कोशिश करो
D. Seek material security first / আগে বস্তুগত নিরাপত্তা খোঁজো / पहले भौतिक सुरक्षा खोजो",A — See your own faults; make the world your own / নিজের দোষ দেখো; জগৎকে আপন করো / अपने दोष देखो; संसार को अपना बनाओ,https://englishbooks.rkmm.org/s/tsd/m/the-gospel-of-the-holy-mother#:~:text=if%20you%20want%20peace
5,"According to Sri Ramakrishna, what is the relationship between Brahman and Shakti?",শ্রী রামকৃষ্ণের মতে ব্রহ্ম ও শক্তির সম্পর্ক কী?,श्रीरामकृष्ण के अनुसार ब्रह्म और शक्ति का संबंध क्या है?,"A. They are inseparable—like fire and its power to burn / তারা অবিচ্ছেদ্য—যেমন আগুন ও তার দাহিকাশক্তি / वे अभिन्न हैं—जैसे अग्नि और उसकी दाहक शक्ति
B. They are opposing realities / তারা পরস্পরবিরোধী সত্য / वे परस्पर विरोधी सत्य हैं
C. Shakti is wholly unreal / শক্তি সম্পূর্ণ অবাস্তব / शक्ति पूरी तरह असत्य है
D. They have no relation / তাদের কোনো সম্পর্ক নেই / उनका कोई संबंध नहीं है",A — Brahman and Shakti are inseparable / ব্রহ্ম ও শক্তি অবিচ্ছেদ্য / ब्रह्म और शक्ति अभिन्न हैं,https://englishbooks.rkmm.org/s/tsr/m/gospel-of-sri-ramakrishna#:~:text=Brahman%20and%20Sakti%20are%20identical
5,"After Sri Ramakrishna's nondual realization, in what state did the Divine Mother command him to remain?",অদ্বৈত উপলব্ধির পর জগন্মাতা শ্রী রামকৃষ্ণকে কোন অবস্থায় থাকতে নির্দেশ দিয়েছিলেন?,अद्वैत अनुभूति के बाद जगन्माता ने श्रीरामकृष्ण को किस अवस्था में रहने की आज्ञा दी?,"A. Bhavamukha / ভাবমুখ / भावमुख
B. Nirvikalpa Samadhi permanently / চিরস্থায়ী নির্বিকল্প সমাধি / स्थायी निर्विकल्प समाधि
C. Ordinary household life / সাধারণ গৃহস্থ জীবন / सामान्य गृहस्थ जीवन
D. Temple ritual alone / কেবল মন্দিরের আচার / केवल मंदिर-पूजा",A — Bhavamukha / ভাবমুখ / भावमुख,https://englishbooks.rkmm.org/s/lsr/m/sri-ramakrishna-the-great-master#:~:text=Remain%20in%20Bhavamukha
5,"In Swami Vivekananda's Rameswaram address on real worship, who is described as truly worshipping Shiva?",বাস্তব উপাসনা নিয়ে রামেশ্বরমের ভাষণে স্বামী বিবেকানন্দ কাকে প্রকৃত শিব-উপাসক বলেছেন?,वास्तविक उपासना पर रामेश्वरम् के भाषण में स्वामी विवेकानंद ने किसे सच्चा शिव-उपासक कहा?,"A. One who sees and serves Shiva in the poor, the weak, and the diseased / যে দরিদ্র, দুর্বল ও রোগীর মধ্যে শিবকে দেখে ও সেবা করে / जो गरीब, दुर्बल और रोगी में शिव को देखता और सेवा करता है
B. One who only offers flowers to an image / যে কেবল মূর্তিতে ফুল দেয় / जो केवल मूर्ति पर फूल चढ़ाता है
C. One who only goes on pilgrimage / যে কেবল তীর্থ করে / जो केवल तीर्थयात्रा करता है
D. One who only studies scriptures / যে কেবল শাস্ত্র অধ্যয়ন করে / जो केवल शास्त्र पढ़ता है","A — One who sees and serves Shiva in the poor, weak, and diseased / দরিদ্র-দুর্বল-রোগীর মধ্যে শিবসেবা / गरीब-दुर्बल-रोगी में शिव की सेवा",https://englishbooks.rkmm.org/s/tsv/m/the-complete-works-of-swami-vivekananda/a/3-4-4-address-at-the-r%C4%81meshwaram-temple-on-real-worship#:~:text=He%20who%20sees%20Shiva%20in%20the%20poor
5,"When Sri Ramakrishna sent Narendra to Mother Kali to pray for his family's material needs, what did Narendra ask for instead?","শ্রী রামকৃষ্ণ নরেন্দ্রকে পরিবারের অভাব দূর করার জন্য মা কালীর কাছে প্রার্থনা করতে পাঠালে, নরেন্দ্র তার বদলে কী চেয়েছিলেন?","जब श्रीरामकृष्ण ने नरेन्द्र को परिवार की आर्थिक आवश्यकता के लिए माँ काली से प्रार्थना करने भेजा, तो नरेन्द्र ने उसके बदले क्या माँगा?","A. Discrimination, renunciation, knowledge, and devotion / বিবেক, বৈরাগ্য, জ্ঞান ও ভক্তি / विवेक, वैराग्य, ज्ञान और भक्ति
B. Wealth and employment / ধন ও চাকরি / धन और नौकरी
C. Political power / রাজনৈতিক ক্ষমতা / राजनीतिक शक्ति
D. Fame and influence / খ্যাতি ও প্রভাব / यश और प्रभाव","A — Discrimination, renunciation, knowledge, and devotion / বিবেক, বৈরাগ্য, জ্ঞান ও ভক্তি / विवेक, वैराग्य, ज्ञान और भक्ति",https://englishbooks.rkmm.org/s/lsv/m/life-of-swami-vivekananda-his-eastern-and-western-disciples#:~:text=Mother%2C%20give%20me%20discrimination
5,How did Holy Mother say she looked upon her disciples?,"শ্রীশ্রীমা বলেছিলেন, তিনি তাঁর শিষ্যদের কীভাবে দেখেন?",श्रीशारदा देवी ने कहा कि वे अपने शिष्यों को किस रूप में देखती हैं?,"A. As Narayana and as her sons as well / নারায়ণরূপে এবং নিজের সন্তানরূপেও / नारायण के रूप में और अपने पुत्रों के रूप में भी
B. Only as students / কেবল ছাত্ররূপে / केवल विद्यार्थियों के रूप में
C. Only as servants / কেবল সেবকরূপে / केवल सेवकों के रूप में
D. As strangers seeking instruction / উপদেশপ্রার্থী অপরিচিত মানুষরূপে / उपदेश चाहने वाले अपरिचित लोगों के रूप में",A — As Narayana and as her sons / নারায়ণরূপে ও সন্তানরূপে / नारायण और अपने पुत्रों के रूप में,https://englishbooks.rkmm.org/s/lsd/m/holy-mother-sri-sarada-devi#:~:text=I%20look%20upon%20you%20as%20Narayana%2C%20and%20as%20sons%20also
